b0_m,l_b0,shape_func,energy_density_Jm3,radial_pressure_Pa,transverse_tension_Pa,energy_violation
0.1,8.6,0.01155008581745644,-8.56994574751932e+40,-8.56994574751932e+40,8.56994574751932e+40,0.0
0.1,8.7,0.011419067262449565,-8.187659112704337e+40,-8.187659112704337e+40,8.187659112704337e+40,0.0
0.1,8.8,0.011290968804428623,-7.82640032183289e+40,-7.82640032183289e+40,7.82640032183289e+40,0.0
0.1,8.9,0.011165694518168505,-7.484799923456166e+40,-7.484799923456166e+40,7.484799923456166e+40,0.0
0.1,9.0,0.011043152607484655,-7.161591146226092e+40,-7.161591146226092e+40,7.161591146226092e+40,0.0
0.1,9.1,0.010923255186885406,-6.85560121468155e+40,-6.85560121468155e+40,6.85560121468155e+40,0.0
0.1,9.2,0.010805918076841923,-6.565743480691397e+40,-6.565743480691397e+40,6.565743480691397e+40,0.0
0.1,9.3,0.010691060611702006,-6.29101028651423e+40,-6.29101028651423e+40,6.29101028651423e+40,0.0
0.1,9.4,0.01057860545935226,-6.030466484840201e+40,-6.030466484840201e+40,6.030466484840201e+40,0.0
0.1,9.5,0.010468478451804276,-5.783243549450836e+40,-5.783243549450836e+40,5.783243549450836e+40,0.0
0.1,9.6,0.010360608425945605,-5.548534217416805e+40,-5.548534217416805e+40,5.548534217416805e+40,0.0
0.1,9.7,0.010254927073755471,-5.325587610175136e+40,-5.325587610175136e+40,5.325587610175136e+40,0.0
0.1,9.8,0.010151368801339449,-5.113704786497327e+40,-5.113704786497327e+40,5.113704786497327e+40,0.0
0.1,9.9,0.01004987059618685,-4.91223468537126e+40,-4.91223468537126e+40,4.91223468537126e+40,0.0
0.1,10.0,0.009950371902099894,-4.7205704212551947e+40,-4.7205704212551947e+40,4.7205704212551947e+40,0.0
0.5,-10.0,0.04975185951049946,-1.8882281685020774e+39,-1.8882281685020774e+39,1.8882281685020774e+39,0.0
0.5,-9.9,0.05024935298093424,-1.964893874148504e+39,-1.964893874148504e+39,1.964893874148504e+39,0.0
0.5,-9.8,0.050756844006697235,-2.04548191459893e+39,-2.04548191459893e+39,2.04548191459893e+39,0.0
0.5,-9.7,0.05127463536877735,-2.130235044070054e+39,-2.130235044070054e+39,2.130235044070054e+39,0.0
0.5,-9.6,0.051803042129728014,-2.219413686966722e+39,-2.219413686966722e+39,2.219413686966722e+39,0.0
0.5,-9.5,0.052342392259021375,-2.313297419780335e+39,-2.313297419780335e+39,2.313297419780335e+39,0.0
0.5,-9.4,0.05289302729676129,-2.4121865939360795e+39,-2.4121865939360795e+39,2.4121865939360795e+39,0.0
0.5,-9.3,0.053455303058510026,-2.516404114605693e+39,-2.516404114605693e+39,2.516404114605693e+39,0.0
0.5,-9.2,0.0540295903842096,-2.626297392276558e+39,-2.626297392276558e+39,2.626297392276558e+39,0.0
0.5,-9.1,0.05461627593442702,-2.7422404858726207e+39,-2.7422404858726207e+39,2.7422404858726207e+39,0.0
0.5,-9.0,0.05521576303742327,-2.864636458490436e+39,-2.864636458490436e+39,2.864636458490436e+39,0.0
0.5,-8.9,0.055828472590842525,-2.993919969382467e+39,-2.993919969382467e+39,2.993919969382467e+39,0.0
0.5,-8.8,0.056454844022143104,-3.130560128733156e+39,-3.130560128733156e+39,3.130560128733156e+39,0.0
0.5,-8.7,0.05709533631224783,-3.2750636450817355e+39,-3.2750636450817355e+39,3.2750636450817355e+39,0.0
0.5,-8.6,0.05775042908728219,-3.4279782990077273e+39,-3.4279782990077273e+39,3.4279782990077273e+39,0.0
